いいのこし	いい残し 言いのこし 言い残し 言い遺し 言ひ残し
いいのこす	いい残す 言い残す 言い遺す
いいはっ	言いはっ 言い張っ
いいはなち	いい放ち 言い放ち 言放ち
いいはなっ	いい放っ 云い放っ 言い放っ 言放っ
いいはなつ	言いはなつ 言い放つ
いいはり	言いはり 言い張り
いいはる	言いはる 言い張る
いいふくめ	いい含め 言いふくめ 言い含め
いいふくめる	いい含める 言い含める
いいふらし	言いふらし 言い触らし
いいふらす	言いふらす 言い触らす
いいふらせ	言いふらせ 言い触らせ
いいよっ	言いよっ 言い寄っ 言寄っ
いいよら	言いよら 言い寄ら
いいより	言いより 言い寄り 言寄り
いいよる	いい寄る 言いよる 言い寄る
いいわける	いい分ける 言い分ける
いいわたさ	言いわたさ 言い渡さ 言渡さ
いいわたし	いい渡し 云い渡し 言いわたし 言い渡し 言渡し
いいわたす	言い渡す 言渡す
いう	云う 言う 謂う
いえ	云え 癒 癒え 言え 謂え 謂へ
いえよう	云えよう 癒えよう 言えよう
いえる	云える 癒える 言える
いえれ	癒えれ 言えれ
いおう	云おう 祝う 言おう
いおとさ	射落さ 射落とさ
いおとし	射落し 射落とし
いおとす	射落す 射落とす
いか	イか 去か 往か 行か 逝か
いかえし	射かえし 射返し
いかけ	射かけ 射掛け
いかける	射かける 射掛ける
いかさ	イカさ 活かさ 生かさ 行かさ 逝かさ
いかし	イカし 活かし 生かし 行かし
いかす	イカす 活かす 生かす 行かす
いかせ	活かせ 生かせ
いかせる	活かせる 生かせる
いかそう	イカそう 活かそう 生かそう
いから	活から 生から 瞋ら
いがみあう	いがみ合う 啀み合う
いがみあっ	いがみ合っ 啀み合っ
いき	イき 往き 活き 生 生き 行き 逝き
いきあい	行きあい 行き合い
いきあう	行きあう 行き合う 行き遭う
いきあたっ	行きあたっ 行き当たっ
いきあたり	行きあたり 行き当たり
いきあっ	行きあっ 行き合っ 行き遭っ
いきおいづい	勢いづい 勢い付い
いきおいづか	勢いづか 勢い付か
いきおいづき	勢いづき 勢い付き
いきおいづく	勢いづく 勢い付く
いきおいづけ	勢いづけ 勢い付け
いきおいづける	勢いづける 勢い付ける
いきかえっ	生きかえっ 生き返っ
いきかえら	生きかえら 生き返ら 生き還ら
いきかえる	生きかえる 生き返る 生返る
いきかけ	行きかけ 行き掛け
いきかわり	生き変り 生き変わり
いきすぎ	生き過ぎ 行き過ぎ
いきっ	イキっ 射切っ
いきつい	行きつい 行き着い
いきつか	行きつか 行き着か
いきつき	行きつき 行き着き
いきつく	行きつく 行き着く 行着く
いきつけ	行きつけ 行き着け
いきつこう	行きつこう 行き着こう
いきづい	息づい 息衝い
いきづき	息づき 息衝き
